1,100,0.174626,0.17448,0.174603,0.174548,0.17463,0.174431,0.17455;
0,105,0.174621,0.174489,0.174599,0.174539,0.174632,0.174444,0.174562;
1,4942,0.174767,0.174392,0.174149,0.172237,0.174373,0.174169,0.174358;
0,4946,0.174621,0.174489,0.174599,0.174539,0.174632,0.174444,0.174562;
1,9920,0.174767,0.174391,0.174148,0.172239,0.174373,0.174168,0.174358;
0,9923,0.174621,0.174489,0.174599,0.174539,0.174632,0.174444,0.174562;
1,14930,0.174767,0.174391,0.174148,0.172243,0.174373,0.174168,0.174358;
0,14933,0.174621,0.174489,0.174599,0.174539,0.174632,0.174444,0.174562;
1,19938,0.174767,0.174391,0.174148,0.172246,0.174373,0.174168,0.174358;
0,19941,0.174621,0.174489,0.174599,0.174539,0.174632,0.174444,0.174562;
1,24953,0.174767,0.174391,0.174148,0.172249,0.174373,0.174168,0.174358;
0,24957,0.174621,0.174489,0.174599,0.174539,0.174632,0.174444,0.174562;
1,29831,0.174767,0.174391,0.174148,0.17225,0.174373,0.174168,0.174358;
0,29835,0.174621,0.174489,0.174599,0.174539,0.174632,0.174444,0.174562;
1,34824,0.174767,0.174391,0.174148,0.17225,0.174373,0.174168,0.174358;
0,34828,0.174621,0.174489,0.174599,0.174539,0.174632,0.174444,0.174562;
1,39814,0.174767,0.174391,0.174147,0.172251,0.174373,0.174167,0.174358;
0,39821,0.174621,0.174489,0.174599,0.174539,0.174632,0.174444,0.174562;
1,44954,0.174767,0.174391,0.174147,0.172251,0.174373,0.174167,0.174358;
0,44960,0.174621,0.174489,0.174599,0.174539,0.174632,0.174444,0.174562;
1,49926,0.174767,0.174392,0.174147,0.172251,0.174373,0.174167,0.174358;
0,49930,0.174621,0.174489,0.174599,0.174539,0.174632,0.174444,0.174562;
1,54916,0.174767,0.174392,0.174147,0.17225,0.174373,0.174167,0.174358;
0,54920,0.174621,0.174489,0.174599,0.174539,0.174632,0.174444,0.174562;
1,59850,0.174767,0.174392,0.174147,0.17225,0.174373,0.174167,0.174358;
0,59854,0.174621,0.174489,0.174599,0.174539,0.174632,0.174444,0.174562;
1,64936,0.174767,0.174393,0.174147,0.17225,0.174373,0.174167,0.174358;
0,64940,0.174621,0.174489,0.174599,0.174539,0.174632,0.174444,0.174562;
1,69828,0.174767,0.174393,0.174147,0.17225,0.174373,0.174167,0.174358;
0,69831,0.174621,0.174489,0.174599,0.174539,0.174632,0.174444,0.174562;
1,74808,0.174767,0.174393,0.174147,0.172249,0.174373,0.174167,0.174358;
0,74812,0.174621,0.174489,0.174599,0.174539,0.174632,0.174444,0.174562;
1,79932,0.174767,0.174394,0.174147,0.172247,0.174373,0.174167,0.174358;
0,79936,0.174621,0.174489,0.174599,0.174539,0.174632,0.174444,0.174562;
1,84834,0.174767,0.174394,0.174147,0.172247,0.174373,0.174166,0.174358;
0,84837,0.174621,0.174489,0.174599,0.174539,0.174632,0.174444,0.174562;
