1,104,0.174595,0.174496,0.174078,0.174547,0.174594,0.174616,0.174593;
0,108,0.174584,0.174505,0.174093,0.174563,0.174581,0.174615,0.174602;
1,4845,0.17491,0.173025,0.1732,0.17324,0.174593,0.174092,0.174354;
0,4847,0.174584,0.174505,0.174093,0.174563,0.174581,0.174615,0.174602;
1,9873,0.17491,0.173025,0.1732,0.17324,0.174593,0.174092,0.174354;
0,9877,0.174584,0.174505,0.174093,0.174563,0.174581,0.174615,0.174602;
1,14871,0.17491,0.173025,0.1732,0.17324,0.174592,0.174092,0.174354;
0,14874,0.174584,0.174505,0.174093,0.174563,0.174581,0.174615,0.174602;
1,19862,0.17491,0.173026,0.1732,0.17324,0.174592,0.174092,0.174354;
0,19865,0.174584,0.174505,0.174093,0.174563,0.174581,0.174615,0.174602;
1,24869,0.17491,0.173026,0.1732,0.17324,0.174592,0.174092,0.174354;
0,24872,0.174584,0.174505,0.174093,0.174563,0.174581,0.174615,0.174602;
1,29868,0.17491,0.173026,0.173199,0.17324,0.174592,0.174092,0.174354;
0,29871,0.174584,0.174505,0.174093,0.174563,0.174581,0.174615,0.174602;
1,34873,0.17491,0.173025,0.173199,0.17324,0.174592,0.174092,0.174354;
0,34876,0.174584,0.174505,0.174093,0.174563,0.174581,0.174615,0.174602;
1,39869,0.17491,0.173025,0.173199,0.17324,0.174592,0.174092,0.174354;
0,39873,0.174584,0.174505,0.174093,0.174563,0.174581,0.174615,0.174602;
1,44872,0.17491,0.173025,0.173199,0.17324,0.174592,0.174092,0.174354;
0,44876,0.174584,0.174505,0.174093,0.174563,0.174581,0.174615,0.174602;
1,49865,0.17491,0.173025,0.173198,0.17324,0.174592,0.174092,0.174354;
0,49868,0.174584,0.174505,0.174093,0.174563,0.174581,0.174615,0.174602;
1,54843,0.17491,0.173025,0.173198,0.17324,0.174592,0.174092,0.174354;
0,54847,0.174584,0.174505,0.174093,0.174563,0.174581,0.174615,0.174602;
1,59842,0.17491,0.173025,0.173197,0.17324,0.174592,0.174092,0.174354;
0,59846,0.174584,0.174505,0.174093,0.174563,0.174581,0.174615,0.174602;
1,64849,0.17491,0.173024,0.173196,0.173241,0.174592,0.174092,0.174354;
0,64853,0.174584,0.174505,0.174093,0.174563,0.174581,0.174615,0.174602;
1,69873,0.17491,0.173024,0.173195,0.173241,0.174592,0.174092,0.174354;
0,69876,0.174584,0.174505,0.174093,0.174563,0.174581,0.174615,0.174602;
1,74869,0.17491,0.173024,0.173194,0.173241,0.174592,0.174092,0.174354;
0,74872,0.174584,0.174505,0.174093,0.174563,0.174581,0.174615,0.174602;
1,79845,0.17491,0.173023,0.173193,0.173241,0.174592,0.174092,0.174354;
