1,422,0.1746,0.174486,0.174617,0.174565,0.174587,0.174516,0.174588
0,427,0,0.785398,0,-0.785398,0,0.623599,0
1,4929,0.174768,0.174299,0.17414,0.172697,0.174327,0.17421,0.174351
0,4933,0.00192682,0.785398,0,-0.782885,0,0.623585,0
1,9922,0.174768,0.174298,0.17414,0.1727,0.174326,0.17421,0.17435
0,9925,0.00385351,0.785398,0,-0.780373,0,0.623543,0
1,14938,0.174766,0.174305,0.174134,0.17269,0.174241,0.174284,0.17421
0,14943,0.00577992,0.785398,0,-0.777862,0,0.623472,0
1,19944,0.174754,0.174343,0.174092,0.172621,0.173864,0.174683,0.173551
0,19948,0.00770593,0.785398,0,-0.775353,0,0.623374,0
1,24923,0.174712,0.174434,0.173967,0.172447,0.173072,0.175637,0.172161
0,24929,0.0096314,0.785398,0,-0.772846,0,0.623248,0
1,29847,0.174629,0.174576,0.173713,0.172145,0.171903,0.177216,0.170138
0,29854,0.0115562,0.785398,0,-0.770344,0,0.623094,0
1,34818,0.174483,0.174769,0.173299,0.17169,0.170411,0.179296,0.167745
0,34824,0.0134802,0.785398,0,-0.767846,0,0.622912,0
1,39834,0.17425,0.175004,0.172715,0.171097,0.168692,0.181698,0.165199
0,39840,0.0154032,0.785398,0,-0.765352,0,0.622702,0
1,44822,0.173912,0.175239,0.171937,0.170416,0.166765,0.184189,0.162652
0,44828,0.0173252,0.785398,0,-0.762864,0,0.622464,0
1,49820,0.173459,0.175452,0.170956,0.169628,0.164698,0.186671,0.160191
0,49826,0.0192459,0.785398,0,-0.760383,0,0.622198,0
1,54808,0.172883,0.17568,0.169794,0.168725,0.162521,0.189078,0.157829
0,54812,0.0211653,0.785398,0,-0.757908,0,0.621905,0
1,59827,0.172176,0.175946,0.168463,0.1677,0.160264,0.191366,0.155596
0,59831,0.0230832,0.785398,0,-0.755442,0,0.621584,0
1,64871,0.171345,0.176271,0.166983,0.166567,0.157962,0.193546,0.153493
0,64875,0.0249995,0.785398,0,-0.752983,0,0.621236,0
1,69927,0.170393,0.176651,0.165358,0.165325,0.155622,0.195666,0.151477
0,69931,0.026914,0.785398,0,-0.750534,0,0.62086,0
1,74933,0.169334,0.177097,0.163612,0.163962,0.153278,0.197711,0.149519
0,74938,0.0288266,0.785398,0,-0.748095,0,0.620457,0
1,79937,0.168171,0.177609,0.161751,0.16249,0.150922,0.199717,0.147567
0,79942,0.0307373,0.785398,0,-0.745666,0,0.620027,0
1,84929,0.166915,0.178191,0.159797,0.160915,0.148583,0.201714,0.145608
0,84933,0.0326457,0.785398,0,-0.743248,0,0.61957,0
1,89936,0.165576,0.178856,0.157767,0.159229,0.146267,0.203723,0.143628
0,89943,0.0345519,0.785398,0,-0.740842,0,0.619085,0
1,94924,0.164157,0.179596,0.155668,0.157469,0.143962,0.20573,0.141625
0,94929,0.0364556,0.785398,0,-0.738448,0,0.618574,0
1,99942,0.162663,0.180397,0.153516,0.155655,0.141678,0.207761,0.139606
0,99947,0.0383568,0.785398,0,-0.736068,0,0.618036,0
1,104872,0.161102,0.181263,0.151324,0.15381,0.139438,0.209788,0.137572
0,104876,0.0402553,0.785398,0,-0.733702,0,0.617472,0
1,109882,0.159472,0.182174,0.149096,0.151921,0.137217,0.211816,0.135541
0,109887,0.042151,0.785398,0,-0.73135,0,0.616882,0
1,114865,0.157784,0.183129,0.146846,0.149982,0.135011,0.21385,0.133525
0,114870,0.0440437,0.785398,0,-0.729013,0,0.616265,0
1,119881,0.156033,0.184131,0.144576,0.148022,0.132807,0.215884,0.131524
0,119886,0.0459333,0.785398,0,-0.726692,0,0.615622,0
1,124899,0.154232,0.185183,0.142295,0.146041,0.130641,0.217904,0.129539
0,124903,0.0478197,0.785398,0,-0.724388,0,0.614953,0
1,129934,0.152382,0.186293,0.14,0.144021,0.128466,0.219922,0.127543
0,129939,0.0497027,0.785398,0,-0.7221,0,0.614259,0
1,134940,0.150502,0.187468,0.13771,0.141978,0.12631,0.221936,0.125537
0,134945,0.0515823,0.785398,0,-0.719831,0,0.613539,0
1,139935,0.148576,0.188708,0.135406,0.139908,0.124166,0.223954,0.123519
0,139943,0.0534582,0.785398,0,-0.71758,0,0.612794,0
1,144934,0.146618,0.189999,0.133104,0.137824,0.122036,0.225972,0.12149
0,144939,0.0553304,0.785398,0,-0.715348,0,0.612024,0
1,149922,0.144636,0.191336,0.130804,0.135732,0.119929,0.22799,0.119457
0,149927,0.0571987,0.785398,0,-0.713135,0,0.611229,0
1,154916,0.14262,0.192708,0.128495,0.133651,0.117819,0.229986,0.117425
0,154920,0.059063,0.785398,0,-0.710943,0,0.61041,0
1,159941,0.140593,0.194117,0.126202,0.131549,0.115745,0.232002,0.115408
0,159946,0.0609231,0.785398,0,-0.708772,0,0.609566,0
1,164939,0.13853,0.195574,0.123897,0.129438,0.113672,0.234018,0.113408
0,164944,0.0627789,0.785398,0,-0.706622,0,0.608698,0
1,169824,0.136455,0.197067,0.121616,0.127317,0.111617,0.236033,0.111422
0,169829,0.0646304,0.785398,0,-0.704494,0,0.607806,0
1,174816,0.134352,0.198591,0.119336,0.125194,0.109575,0.238066,0.109444
0,174820,0.0664773,0.785398,0,-0.702389,0,0.606891,0
1,179831,0.132237,0.200149,0.117058,0.123079,0.107529,0.240076,0.107453
0,179835,0.0683196,0.785398,0,-0.700308,0,0.605952,0
1,184825,0.130117,0.201739,0.114799,0.120954,0.105524,0.242099,0.105457
0,184830,0.070157,0.785398,0,-0.69825,0,0.60499,0
1,189816,0.127974,0.203356,0.112531,0.118839,0.103475,0.244115,0.103446
0,189821,0.0719896,0.785398,0,-0.696217,0,0.604005,0
1,194822,0.12584,0.204995,0.110287,0.116731,0.101437,0.246128,0.101429
0,194827,0.073817,0.785398,0,-0.694209,0,0.602998,0
1,199834,0.123704,0.206661,0.108043,0.114639,0.0994236,0.24813,0.0994141
0,199839,0.0756393,0.785398,0,-0.692226,0,0.601968,0
1,204858,0.121564,0.208377,0.105806,0.112502,0.0973774,0.250161,0.0973969
0,204863,0.0774563,0.785398,0,-0.69027,0,0.600916,0
1,209849,0.11944,0.210128,0.103592,0.11036,0.0953703,0.252189,0.0953928
0,209854,0.0792679,0.785398,0,-0.68834,0,0.599843,0
1,214870,0.117304,0.211913,0.101366,0.108221,0.0933296,0.254212,0.0934014
0,214875,0.0810739,0.785398,0,-0.686437,0,0.598748,0
1,219884,0.115182,0.213742,0.0991705,0.106065,0.091313,0.256218,0.091432
0,219888,0.0828742,0.785398,0,-0.684563,0,0.597632,0
1,224927,0.113056,0.2156,0.0969723,0.103898,0.0893053,0.258249,0.0894664
0,224931,0.0846686,0.785398,0,-0.682716,0,0.596496,0
1,229992,0.110933,0.21749,0.0947853,0.101757,0.0872736,0.260222,0.087485
0,229997,0.0864572,0.785398,0,-0.680898,0,0.595338,0
1,234959,0.108811,0.219391,0.0926128,0.0996094,0.0852696,0.262202,0.0854903
0,234963,0.0882397,0.785398,0,-0.67911,0,0.594161,0
1,239943,0.106674,0.221335,0.0904451,0.0974758,0.0832623,0.264157,0.0834771
0,239948,0.0900159,0.785398,0,-0.677352,0,0.592964,0
1,244923,0.104548,0.223294,0.0882989,0.0953736,0.081266,0.266097,0.0814601
0,244927,0.0917859,0.785398,0,-0.675624,0,0.591748,0
1,249932,0.102435,0.225273,0.0861537,0.0932644,0.0792609,0.268066,0.0794329
0,249937,0.0935494,0.785398,0,-0.673926,0,0.590512,0
1,254930,0.100368,0.227293,0.0840125,0.0911413,0.077271,0.270013,0.0774186
0,254934,0.0953064,0.785398,0,-0.67226,0,0.589257,0
1,259916,0.0983572,0.229336,0.0818765,0.0890171,0.0752821,0.272027,0.0754164
0,259921,0.0970567,0.785398,0,-0.670626,0,0.587984,0
1,264835,0.0964135,0.231419,0.0797472,0.0868959,0.073288,0.274032,0.0734243
0,264839,0.0988001,0.785398,0,-0.669024,0,0.586693,0
1,269816,0.0945622,0.233516,0.0776326,0.0847586,0.071293,0.276082,0.07144
0,269820,0.100537,0.785398,0,-0.667455,0,0.585385,0
1,274820,0.0928167,0.235638,0.0755307,0.0826438,0.0692837,0.278149,0.0694562
0,274824,0.102266,0.785398,0,-0.665919,0,0.584059,0
1,279840,0.0911834,0.237772,0.0734379,0.0805297,0.0672745,0.280184,0.0674617
0,279845,0.103988,0.785398,0,-0.664416,0,0.582716,0
1,284866,0.0896848,0.239912,0.071362,0.0784186,0.0652629,0.282232,0.0654641
0,284871,0.105703,0.785398,0,-0.662947,0,0.581356,0
1,289865,0.0883173,0.24207,0.0692879,0.0763462,0.0632445,0.284245,0.0634553
0,289869,0.107411,0.785398,0,-0.661513,0,0.57998,0
1,294823,0.0870978,0.244224,0.0672309,0.0742766,0.061227,0.286266,0.0614405
0,294827,0.109111,0.785398,0,-0.660113,0,0.578589,0
1,299842,0.0860361,0.246397,0.0651881,0.0721903,0.0592267,0.288271,0.0594246
0,299847,0.110803,0.785398,0,-0.658749,0,0.577181,0
1,304828,0.0851222,0.248583,0.0631436,0.0701137,0.057197,0.29026,0.0574125
0,304833,0.112488,0.785398,0,-0.65742,0,0.575759,0
1,309824,0.084379,0.250804,0.0611267,0.0680364,0.0552013,0.292239,0.0554213
0,309828,0.114165,0.785398,0,-0.656127,0,0.574323,0
1,314838,0.0838023,0.253032,0.0591002,0.0659293,0.0531791,0.294242,0.053444
0,314842,0.115833,0.785398,0,-0.654871,0,0.572872,0
1,319845,0.0834329,0.255284,0.0570968,0.06385,0.0511866,0.296202,0.0514863
0,319849,0.117494,0.785398,0,-0.653651,0,0.571407,0
1,324837,0.0832496,0.257542,0.05508,0.061772,0.0491779,0.298166,0.0495167
0,324842,0.119146,0.785398,0,-0.652468,0,0.569928,0
1,329824,0.083271,0.259813,0.0530831,0.0596931,0.0471824,0.300114,0.0475336
0,329828,0.12079,0.785398,0,-0.651322,0,0.568437,0
1,334833,0.083457,0.262094,0.0510832,0.0576299,0.0451979,0.302064,0.0455366
0,334838,0.122426,0.785398,0,-0.650214,0,0.566933,0
1,339844,0.0838264,0.264372,0.0490899,0.0556051,0.0432091,0.304011,0.0435248
0,339849,0.124053,0.785398,0,-0.649144,0,0.565417,0
1,344832,0.0843902,0.266662,0.0470976,0.0535393,0.0412133,0.305998,0.0415054
0,344837,0.125671,0.785398,0,-0.648112,0,0.563889,0
1,349833,0.0851537,0.268958,0.0451075,0.051474,0.0392181,0.307993,0.039477
0,349838,0.12728,0.785398,0,-0.647119,0,0.56235,0
1,354861,0.0861083,0.271271,0.0431209,0.0494198,0.0372165,0.309977,0.037458
0,354866,0.12888,0.785398,0,-0.646164,0,0.5608,0
1,359847,0.0872296,0.273594,0.0411334,0.0473328,0.0351982,0.312018,0.035454
0,359851,0.130472,0.785398,0,-0.645249,0,0.55924,0
1,364870,0.0885175,0.275925,0.0391522,0.0452548,0.0331971,0.314025,0.0334677
0,364875,0.132054,0.785398,0,-0.644373,0,0.55767,0
1,369826,0.0899372,0.278244,0.0371637,0.0432009,0.031175,0.316034,0.0314899
0,369831,0.133627,0.785398,0,-0.643536,0,0.55609,0
1,374837,0.0914893,0.28058,0.0351825,0.0411325,0.0291723,0.318069,0.0294982
0,374841,0.135191,0.785398,0,-0.64274,0,0.5545,0
1,379900,0.093152,0.282922,0.0331946,0.0390512,0.0271652,0.320095,0.0274968
0,379904,0.136745,0.785398,0,-0.641983,0,0.552903,0
1,384871,0.0949115,0.285264,0.0312061,0.0370208,0.0251498,0.322087,0.0254895
0,384876,0.138289,0.785398,0,-0.641267,0,0.551297,0
1,389832,0.0967582,0.287599,0.0292174,0.0349597,0.0231536,0.324115,0.0234808
0,389837,0.139824,0.785398,0,-0.640591,0,0.549683,0
1,394829,0.0986661,0.289956,0.0272241,0.0328652,0.0211565,0.326141,0.0214718
0,394833,0.141349,0.785398,0,-0.639956,0,0.548062,0
1,399849,0.100635,0.292326,0.0252315,0.0307856,0.0191542,0.328141,0.0194589
0,399854,0.142864,0.785398,0,-0.639361,0,0.546434,0
1,404837,0.102657,0.294697,0.023236,0.0286868,0.0171735,0.33017,0.0174527
0,404841,0.144369,0.785398,0,-0.638808,0,0.544799,0
1,409839,0.104723,0.297073,0.0212305,0.0265845,0.0151805,0.332203,0.0154661
0,409844,0.145864,0.785398,0,-0.638296,0,0.543159,0
1,414830,0.106834,0.299431,0.0192296,0.0245079,0.0132048,0.334211,0.0134992
0,414835,0.147349,0.785398,0,-0.637825,0,0.541513,0
1,419917,0.108971,0.301799,0.017217,0.0224369,0.0112279,0.336208,0.0115461
0,419922,0.148823,0.785398,0,-0.637395,0,0.539862,0
1,424842,0.111139,0.304164,0.0152047,0.0203496,0.00923715,0.338235,0.00957474
0,424851,0.150287,0.785398,0,-0.637007,0,0.538207,0
1,429832,0.11333,0.306544,0.0131879,0.0182836,0.00724116,0.34022,0.00758679
0,429836,0.15174,0.785398,0,-0.636661,0,0.536548,0
1,434842,0.115535,0.308902,0.0111636,0.0162333,0.00524526,0.342192,0.00557548
0,434846,0.153183,0.785398,0,-0.636356,0,0.534884,0
1,439885,0.117754,0.311269,0.00914522,0.0141327,0.0032506,0.344193,0.0035571
0,439890,0.154615,0.785398,0,-0.636094,0,0.533218,0
1,444839,0.119968,0.313644,0.00711641,0.0120302,0.00125077,0.346173,0.00152511
0,444843,0.156036,0.785398,0,-0.635873,0,0.531549,0
1,449833,0.12219,0.316023,0.00509443,0.00994038,-0.000704289,0.348149,-0.000439402
0,449838,0.157446,0.785398,0,-0.635694,0,0.529878,0
1,454872,0.124416,0.318388,0.00309834,0.00782013,-0.00225198,0.350152,-0.00168516
0,454876,0.158845,0.785398,0,-0.635557,0,0.528205,0
1,459854,0.126644,0.320752,0.00118218,0.00572606,-0.0032808,0.352147,-0.00201053
0,459859,0.160233,0.785398,0,-0.635463,0,0.526531,0
1,464840,0.128869,0.3231,-0.000602147,0.00365896,-0.00396016,0.354138,-0.00183994
0,464844,0.161609,0.785398,0,-0.63541,0,0.524855,0
1,469844,0.13109,0.325449,-0.00220983,0.00156388,-0.00438805,0.356133,-0.00149869
0,469849,0.162975,0.785398,0,-0.635399,0,0.52318,0
1,474837,0.133298,0.3278,-0.00360851,-0.000528444,-0.00463099,0.358127,-0.00113742
0,474841,0.164329,0.785398,0,-0.635431,0,0.521505,0
1,479855,0.135495,0.330126,-0.00476571,-0.00256792,-0.00471431,0.360109,-0.00085837
0,479859,0.165671,0.785398,0,-0.635505,0,0.51983,0
1,484844,0.137671,0.332445,-0.0057148,-0.00463873,-0.00468334,0.362097,-0.000710125
0,484848,0.167002,0.785398,0,-0.635621,0,0.518156,0
1,489834,0.139823,0.334752,-0.00647711,-0.00672914,-0.00462419,0.364101,-0.000666563
0,489838,0.168321,0.785398,0,-0.635778,0,0.516484,0
